User,Comments,Likes,Date
@PuggetronicsPioneer,"Bro, i just want Gravity Rush 3",1,2 weeks ago
@M98747,This State of Play was horrendous.,2,2 weeks ago
@brunnoarians,Concord = Valorant = Overwatch. Nothing new here,260,2 weeks ago
@LEE-337,For years I've asked for a new SOCOM. Not an Overwatch clone.,200,2 weeks ago
@Rawdenimandsneakers,Astro Bot looks awesome,14,2 weeks ago
@nightmare1nc,i spent 5 minuets skimming throu this and i still feel like i wasted time.,2,2 weeks ago
@huuamai8151,I miss E3 level hype reveals.,285,2 weeks ago
@azzkelat3879,Where is the dlc for Marvel Spider-Man 2?,353,3 weeks ago
@YUCHAGAMING,"What about remake ico, no??",2,2 weeks ago
@Fizzypoptunes,Guardians of the galaxy from Temu,0,2 weeks ago
@hectortejeda2057,How many FPS clones do we need?,287,2 weeks ago
@genyatus,"I don't think anyone had hopes for the SH2 remake, but that's just rough",510,2 weeks ago
@herrypottier4201,"Astro bot, moster hunter wilds, silent hill 2, path of exile 2 are the only ones that interested me in this state of play, lets see what nintendo and Microsoft have in store",47,2 weeks ago
@Dusty548,My expectations were zero and I was still second hand embarrassed by this.,56,2 weeks ago
@metarugia3981,"Why is it so hard for shareholders to understand that the FPS genre is oversaturated and people are tired of them. Look how successful Helldivers is, as a co-op 4 person shooter with unique gameplay.",1,2 weeks ago
@kpsk8031,This made me much more excited for ANYTHING Nintendo is planning. What a disaster.,1,2 weeks ago
@Bookish_Lattes,I was getting hyped about Concord until the unfortunate live service aspect was revealed. No thanks.,145,2 weeks ago
@doomslayer6906,"i feel like patchy the pirate after watching the super secret spongebob episode  i genuinely had to say ""that was it?""",29,2 weeks ago
@Kyle181INF,Pretty bad when Astro bot is their best showing...,1,2 weeks ago
@wushroomnimbus,I just really want another LittleBigPlanet game,221,2 weeks ago
@7raulito10,Concord looks like it could be great if they give it the proper care and could maybe bring something different to the overwatch crowd but it feels off that there aren’t any single player titles to look forward to from Sony,33,2 weeks ago
@willjohnboy,Sony should be ashamed at that state of play.,1,2 weeks ago
@hoarfyt,Bad ending: every game is dark souls and overwatch now,2,2 weeks ago
@jamescorey3516,Nobody wants a Live Service game. They want a chill Multi player game.,437,5 days ago
@gamergangtalk0080,This Year  Sony 0 - 1 Xbox,35,10 days ago
@LuisPipoComunica,"Agree on that comment about shareholders being the biggest threat to quality, in general. That game concord came too late, looks like the kind of game i'll never play tbh",1,2 weeks ago
@qhouston2942,PlayStation please understand that we want games that focus on single player stories …stop with the live server multiplayer stuff…please!!,841,2 weeks ago
@eliamzg,I have had a PS5 for close to two years now... sadly my joy has been in games from past gens,314,2 weeks ago
@GamingMaverickIN6470,We want single player exclusives,0,2 weeks ago
@wpol475,"We've gone from eras of Jak and Daxter, Twisted Metal, Metal Gear 4, Uncharted, Killzone, Resistance, LittleBigPlanet, Infamous, Shadow of the Colossus, Bloodbourne...shoot, even Playstation All-Stars...and more...to this.   I'm disappointed in Sony this year :/",0,2 weeks ago
@VividVisionary,"Loved Concord, until I saw it was a PvP game. A single player experience is what I thought it was with the opening scenario. The fact it’s Overwatch or Apex, I’m out.",393,2 weeks ago
@clutchmelon4587,They just ripped off Guardians of the Galaxy with that intro cinematic,54,2 weeks ago
@bernardo_olafson,how far can we go making our game look like Guardians of the Galaxy without getting sued...,2,7 days ago
@XhoowieX,Guardians of the Galaxy at home...,0,2 weeks ago
@andrewb214,"Perhaps there is an audience out there for pure PVP based hero shooters, but I'm definitely not in it.",161,2 weeks ago
@MissKatheryn,"All I wanted was an update on Baby Steps, I'm very sad now",48,2 weeks ago
@HiNRGSpa,We want great single player experiences. Love Astro Bot.,1,2 weeks ago
@OrionSkiesAMV,Did we really need Until Dawn remade...?,1,2 weeks ago
@FeisarX,I wish I could have the 35 minutes back and just watch Astrobot.,27,2 weeks ago
@meadinosaur7085,Honestly.... that Astro Bot at the end was the best that was shown. I am not sure how I feel about Monster Hunter Wilds yet? is it gonna be like World or Rise?,16,2 weeks ago
@billytaylor1780,"21:53 23:00 ""Where Winds Meets"" is the only game that interest me here.",1,11 days ago
@peteparker22,These companies never learn that no one wants to see pre rendered cinematic trailers,2,2 weeks ago
@Kazeira,Without Astro Bot this would probably have been one of the worst State Of Play ever,36,2 weeks ago
@collinslack52,I'm curious as to what Bend has been up to. I'm still praying one day for Syphon Filter 1-3 remake. But with Days Gone-like  mechanics and expanded fleshed maps.,0,2 weeks ago
@sandihermana4873,"Why there is still no sign about the next resident evil games, i just wish later this year will show up in next event",37,2 weeks ago
@TheGuiVR,Bloodborne 2? NO. Bloodborne PC port? NO.  Bloodborne 60fps patch for ps5? NO. Bloodborne remaster? NO.,64,2 weeks ago
@justafewthoughts9519,Concord looked kinda fun with that trailer. Then they said it’s a 5v5 shooter and got sad because I will never play it.,2,2 weeks ago
@dudeguy1894,28:52 The only trailer I actually care about,56,2 weeks ago
@divinedemon9076,"Excited for the Until Dawn upgrade, now when are we getting the rest of the Dark Pictures Anthology and can they get the same graphics treatment?",20,2 weeks ago
@jukuri3545,Another state of play that shows why I don't need a PS5,6,2 weeks ago
@johnclark926,"Absolutely psychotic they snuck Astro Bot after 33 minutes of mostly mindless gaming sludge. It would have saved so many people’s time to have it start the event, so much of this was either obvious ports or games no one is interested in.",162,2 weeks ago
@SkylarCampbellArt,"Alright gamers, we heard you! Get ready for misleading uninspired cinematic trailer #1,463 (extended edition)",19,2 weeks ago
@stuartroweofficial,Astrobot looks fun,2,2 weeks ago
@wazzupimchris,Calling it right now. Concord will suffer the same fate as Lawbreakers.,1,2 weeks ago
@hahabamay,I really thought Concord was gonna be a Guardian of the Galaxy type game...what a shame,118,2 weeks ago
@nicolasdlcful,Cuando va a salir Astobot en Nintendo Switch???,36,2 weeks ago
@MatthewBrown-qi9nr,Astro Bot and Silent Hill!   Until Dawn is an amazing game for anyone who didn't play it.,1,2 weeks ago
@TheAusWarrior,release InFAMOUS 1-2 from their PS3 library prisons please!!!,0,3 weeks ago
@francismatias4303,That Astro Bot game actually looks fun! Says a lot when that’s the game that really got my attention the most out of all of the games presented,32,2 weeks ago
@michaellee4463,I think it's safe to say that Concord single-handedly dragged down this entire State of Play,13,22 hours ago
@Lokarusa,imagine the money used for fancy long CGI Trailer (which may resemble what the Games 'vision' is like but sometimes doesn't rlly share what the actual 95% of ingame content will be) would be used for extended deevelopment time :O,0,2 weeks ago
@Baxwell.,It was weird seeing the Guardians of the Galaxy in Overwatch. It was weirder seeing it twice.,3,2 weeks ago
@controversialverbal3792,Concord… Saints Row 2023 writing in space with a Guardians of the galaxy skin.,64,2 weeks ago
@Geneticspore,"If you have a game with NetEase, or Tencent, or anything that has sbi involved in it, you get an automatic F in my book.  Not impressed with this in the least bit Sony.",50,2 weeks ago
@curelord,Well best thing here was ASTRO bot,1,2 weeks ago
@Sombro56,That’s 35 minutes I won’t get back,0,2 weeks ago
@tentaclefoxx,Imagine the biggest win in a State of Play is an AstroBot game ,64,2 weeks ago
@SchmalzimOhr,Rebrand the state of play to State of Decay,63,10 days ago
@ZephyrAlphaOne,Astro Bot was the best game showcased lol,0,2 weeks ago
@felipekane9611,We need a new LittleBigPlanet game,2,2 weeks ago
@ulrichlegros,Astro Bot still not on PSVR 2 ? Why ? It's the perfect game for the PSVR 2.,20,2 weeks ago
@T4KUM4KUN,"Concord = Guardians of the galaxy's Overwatch Rivals = Marvel's Overwatch. Ok, no.  Let's go with AstroBot.",44,2 weeks ago
@arijitroy3040,Why every game has to be either a live service or a souls like!?,0,2 weeks ago
@borderlandzcrazy5717,Can we get something that's NOT Overwatch style?,0,2 weeks ago
@mattk413,Behemoth was the only one that looked interesting to me,647,2 weeks ago
@ChocolateMilkMonster,"The only game with some style, personality and uniqueness to it was Astro Bot. They actually showed gameplay some gameplay and it seemed really fun. It's refreshing some some art style put into a modern game release again.",151,2 weeks ago
@slowandsafegaming4126,Concord went from looking fun and interesting to convincing me to pretend it doesn't even exist in record time.,1,2 weeks ago
@PercyNPC,Buy the games.  Buy heroes in game.  Buy heroes's skin in game.  Buy Battle Pass in game.   I hate these games.,41,2 weeks ago
@LionheartXV,Astro bot looks great too i remember playing the vr one on ps4,125,2 weeks ago
@stylelementz2194,Concord equals live service - no thanks. ( Where's bloodborne remake already),2,2 weeks ago
@frankkennedy6388,"""Our new pvp shooter"": MARVEL  ""How many times do we need to teach you this lesson old man!""",98,2 weeks ago
@Cone_Head70,You guys accidentally forgot Spiderman dlc,0,2 weeks ago
@nicholasjacquin476,man i cant wait to get carted and carried the entire game in monster hunter wilds!,0,2 weeks ago
@MaxxKoggen,So the PS5 Pro drops in September?,8,2 weeks ago
@BigEOT3,"“PlayStation State of Play, where getting socks for Christmas doesn’t seem that bad in retrospect”",19,2 weeks ago
@tomsimmons7673,PlayStation State of Disappointment,4,2 weeks ago
@AlxofSteel,"Ballad of Antara, Dynasty Warriors, and Where Winds Meet all feel like the exact same game but in different fonts.",4,2 weeks ago
@bananabike279,"That was all right, mostly excited for Monster Hunter Wilds and Astro Bot!",1,2 weeks ago
@tonybone1889,PS3-PS4 had some mind-blowing exclusives PS5 has been nothing but remasters and cross gen titles,1,2 weeks ago
@unclesamseagle76,That Shadow of the Colossus Astro Bot cameo has me feeling all kinds of things. Team Asobi always delivers.,20,2 weeks ago
@gokkiyoutube,"Chapters for each game, please!",0,2 weeks ago
@nathank2289,"Wow the whole showcase is an example of ""We have (generic game) at home""",3,2 weeks ago
@legobane,As a Bloodborne fan I've already got the clown nose equipped,73,2 weeks ago
@KingBamu,“Gonna get sticky” - Spider-Man 2024,39,2 weeks ago
@bradynolan9328,Can we pls get a new sly cooper?,0,2 weeks ago
@Nekroido,The dire state of play ,0,10 days ago
@universpro7741,Having a weekly cinematic is the same as those clickbait mobile game ads,112,2 weeks ago
@Fifko88,"""This could have been an email"" State of play. My disapointment is immesurable.",19,2 weeks ago
@GlobalPsychosis,Why  won’t  you  make  a  new  Twisted  Metal!!!!,8,2 weeks ago
@kronos13,Studio will shutdown after launch,106,2 weeks ago
@charlesleeiii,Is that Scott Speedman as Lennox in Concord?,16,2 weeks ago
@shronk769,where are the strand type games???,0,2 weeks ago
@Keisaraynja26,"As a lifelong PlayStation player, this was a really bleak, dire outlook for Sony, whoever is making these decisions to not listen to the consumer/fanbase when it comes to what we actually want from gaming is just killing the company.  The bigger they are, the harder they fall I suppose. 🫡",38,2 weeks ago
@tropic.media.studio,Live service is going to kill PlayStation :(,2,2 weeks ago
@PsogyJkon,Y’all spent an unnecessary amount of time promoting Concord.,42,2 weeks ago
@lisam.willson1679,PlayStation should honestly just stop working on live service games,37,2 weeks ago
@ZiouyHiocv,Congratulations to all the developers featured for not being fired yet,1,2 weeks ago
@MdaaoZiwu,You know the game is garbage when you think you have to show a 4 minute cinematic trailer to sell a 5v5 game.,0,2 weeks ago
@ToastInteractive,"The new Astro Bot looks absolutely incredible! Astro Bot: Rescue Mission on PSVR blew our minds and was our inspiration behind making our very own VR platformer: Max Mustard. Even though this new title isn't headed to PSVR2, we hope to help fill the void for anyone wanting another charming VR platformer! ",18,2 weeks ago
@DullGamerGuy,We need Ghost of Tsushima 2 announcement,85,3 weeks ago
@VictorFaco,"Concord had a huge potential to be a guardians of the galaxy clone where u roam around the universe completing quests with ur crew, would be ultra fun as a single player experience. But no, it has to be a generic fps multiplayer that everyone will stop playing 2 weeks after it launches",0,2 weeks ago
@Thugger01,"Soo 2 Overwatch clones, 500 games where you play as a badass asian samurai ninja whatever, some PC ports and a LittleBigPlanet wannabe. Wow.",37,2 weeks ago
@chidubemimari9015,Astro bot was the only redeeming quality of the stream smh,132,2 weeks ago
@Fin-ul5rx,Are you serious that was it,1,2 weeks ago
@MithunOnTheNet,Ballad of Antara looks amazing! Is it by a Japanese studio?,0,2 weeks ago
@cupcake5128,"Yesterday I bought a game from the store and I didn't like it, and not all of the maps work. How do I get my money back in the store to buy another game?",39,2 weeks ago
@Phill81,30 minutes of nothing ,17,2 weeks ago
@crystalwater505,I'm almost the age of 40 and I think the Astro Bot game looks awesome.,1,2 weeks ago
@KaizenGamingTV,Where is Bloodborne II or Bloodborne port? hello?,1,2 weeks ago
@RedXIIRed13,Concord looked fun and halfway through the trailer I said out loud 'this better not be a team based shooter'. I was hoping for a new game like Guardians of the Galaxy,99,2 weeks ago
@msa4178,When will Sony show us real games?,50,2 weeks ago
@Ashamedofmypast,Monsterhunter with 2 weapons during a hunt is easily the best thing here,4,2 weeks ago
@ElHeffJeff,"Me watching Concord's trailer: ""Man this looks cool, it better not be a 5v5 team shooter"" ",16,2 weeks ago
@I_love_bread_and_Hungry_Jacks,The only thing that actually surprised me was DYNASTY WARRIORS being in a state of play.,18,12 days ago
@elgatosamurai9517,We need a new Resistance,0,3 weeks ago
@kamuigui,"Concord could have been an amazing single player shooter rpg guardian of the galaxy-ish, and instead they decided to do an overwatch of it ",0,2 weeks ago
@WhackingJam,The only way I will play Concord is if it were Free and only then find some enjoyment if it was a quick Platinum.,83,11 days ago
@user-ez9dp3zs1p,Rename the show as state of boring. Anyone remember games were fun before now???,33,2 weeks ago
@Igones,"For a second I thought they were going to announce PS5 pro inside astro, that would’ve been really fun, haha",0,2 weeks ago
@alexpankin4711,"I'm embarrassed to ask, where are the games?!",0,2 weeks ago
@slappyjo1046,Concord looks cool if it wasn’t a 5v5 shooter. Literally anything else would’ve been cool like DMZ,48,2 weeks ago
@megan6003,I wanna know what happened to phantom blade 0,92,2 weeks ago
@predvoditel1,Astro Bot not coming to PSVR 2 is a shame.,0,2 weeks ago
@TMWriting,"unbelievable that Astro Bot isn’t coming to PSVR2. As a hybrid release, it could really usher in a new era for the platform. Choosing to make it exclusively PS5 is a huge slap in the face to the PSVR community.",0,2 weeks ago
@beelvanbuurenful,Xbox just smashed y’all… be very embarrassed,44,11 days ago
@akkystreams1103,We're only half way through the year and it looks like Stellar Blade was the high point. Yikes.,11,2 weeks ago
@faniumarigliano,Nobody caaaaaaaaaares about this Concord,2,2 weeks ago
@chrisbennett1358,What a let down,0,2 weeks ago
@Zamoshi,"I'm more hyped about Astrobot than anything else in this video, even MH Wilds! (And I've been waiting for the sequel for over 6 years). Not interested in live service nor VR. Astro looks sick AF!!",21,2 weeks ago
@eliaszerano3510,concord is pvp only ?,12,2 weeks ago
@jayc5555,Sony should be embarrassed. Awful show yet again.,1,2 weeks ago
@Sligili,We got two Overwatch clones bro ,1,2 weeks ago
@thalunizz21,"This is a solid C-. My expectations were low, and it was still underwhelming. This should've been called State of PC - Astro Bot was the best and most original thing they showed. If it wasn't some Chinese souls-clone it was a PC port.",45,2 weeks ago
@dxshingaming4650,Concord have a so much funny and punchy dialogue but its not enough for laughing  coz its multiplayer ,28,2 weeks ago
@awgoodrich8,Was onboard with Concord until they said it was 5v5. IMO...it would have been more appealing if it was an action adventure or rpg of some sort.,1,2 weeks ago
@shishinonaito,Astro Bot saved this train wreck of a SoP,23,2 weeks ago
