User,Comments,Likes,Date
@BricksAndBuilds482,The only game I saw myself somewhat enjoying was Astro Bot,0,2 weeks ago
@marcrkox2,For until dawn it is like turning a ps4 version into a ps5 version only with one difference in upgraded graphics I am disappointed in that I expected to see what’s actually new for the game I expected to see at least one different thing that is a possible DLC I guess that is not the case because of that I am removing until dawn from my wish list,0,2 weeks ago
@GwTim03,Re9 plss!!!,0,3 weeks ago
@Chobitsx3,no reason to buy a ps5 yet yawn fest,0,2 weeks ago
@teckkuan13,"We want gameplay , not trailers",0,2 weeks ago
@mischamg6714,"Astrobot looks amazing. But why no PSVR2 Support, Sony????",0,2 weeks ago
@user-ry2xn9co3f,New marvel wolverine Gameplay,0,3 weeks ago
@TheDavidTeam,I will never understand how Sony went from the most promising brand for Videogame quality to the most garbage shitshow.,0,10 days ago
@Chael-chan,Why is AstroBot the coolest? I’ve loved all their games and you beat Zelda with that trailer,0,2 weeks ago
@WhackingJam,We really need Command and Conquer playstation one real RTS game but it doesn't fill the void,0,11 days ago
@hamzaramen1167,I hope New killzone game  Or remastered Old game .,0,3 weeks ago
@LeNoRo165,Xbox was far better ,0,11 days ago
@eliaszerano3510,FREE MULTIPLAYER CO-OP would be much more exciting news !,0,2 weeks ago
@Gapb_TheRealOneTho,I kinda liked Ballad of Sekiroring and Astrobot Odyssey,0,2 weeks ago
@NexusWorks924,New FNAF game here we come baby,0,3 weeks ago
@GenesisGaming031,well..this was a big fail....,0,2 weeks ago
@Measiru,When i saw Sillent Hill i Thought that was Resident Evil 9,0,2 weeks ago
@thenightowl1560,Xbox was far better ,0,2 weeks ago
@patrikn9916,Astrobot ,0,2 weeks ago
@Mazy-Ib,R-E-9,0,3 weeks ago
@moeperk81,Concord has been done so many times already even the developers didn't know what to really say. I'd love to see a fresh and original idea. No one cares about that game already. Sony should cut their losses right now,0,2 weeks ago
@Kytetiger,the best announcements are Infinity Nikki and Astro Bot,0,2 weeks ago
@omni_tron,Ghost of Tsushima 2.,0,3 weeks ago
@BratVaxer,What a failure sony....,0,2 weeks ago
@onetruescottie,Why was Astro Bot the best looking game out of them all though lol,0,2 weeks ago
@pedromchannel,I can’t believe you missed the opportunity to do another VR Astro Bot ,1,2 weeks ago
@LokiToxtrocity,"Only thing I'm hyped for is Wilds.  Ill be very honest, bought my ps5 for wilds, and warframe, since I come from the switch, and well the Library of gsmes in ps5 and this presentation has slightly dissapointed me.",0,10 days ago
@SINftare,Is Astro Bot the only one worthy of attention?,1,2 weeks ago
@runninginthe90s75,This state of play is so bad it need to be rated worse than 1/10. Xbox showcase is miles better than this trash !!,0,8 days ago
@xxwilliamxbarrosxx7274,27:00 best game of all,0,2 weeks ago
@DBC_Whiterose,Er got an Astro Bot standing alone game before an new Mario 3D title that’s crazy,0,2 weeks ago
@C0LPAN1C,"LOUp2 remastered pc port, im patiently waiting for!",0,2 weeks ago
@Kelv02,We need more Co-op games man,0,2 weeks ago
@albl2171,Microsoft will easily outsmart those trailer's with their Xbox Bethesda Activision Blizzard showcase on 9th June 2024 ,1,2 weeks ago
@kaidokp,So I off'd Reed to send Songbird into space and she decides to enter a new game called Concord?? Reed's rolling in his grave right now.,7,2 weeks ago
@GG3695,I just wasted 35 minutes of my life.,1,2 weeks ago
@jacksally09,Concord seems awesome untill I saw gameplay,0,2 weeks ago
@AMaguire90,Only game that peaked interest was Silent hill 2 andd POE2 and that will be on PC where I dont have to subscribe for online play.,0,2 weeks ago
@elizabethflowers749,the only game that got me genuinely excited was astro bot,0,11 days ago
@akatsubaki1792,quien lo diria ahora tendre que comprar un ps5 solo para jugar el del robot,0,2 weeks ago
@Arkticsnowman,"OMFG!  I'm so sick and tired of the ""games as a service"" model.  Let me pay for my game up front.  Enough trying to nickel and dime me to double or triple the price of a game.",0,2 weeks ago
@KingGrizzBadara,"Mostly 5v5 or Souls like games for the most part. I think they all look cool, but nothing hits that note for me. I'm starting to think I'm growing out of gaming because my excitement during theses show is waning. Maybe when there is a new Uncharted, Ninja Gaiden, Killzone, Infamous or MGS it will pique my interest.",1,2 weeks ago
@WaleedZanbagi,Those shearholders and CEOs are not gamers and of video games to know what we want...,0,2 weeks ago
@futurafrlx8874,"Concord looks nice, but I don't understand who the target audience is. As an adult, I barely have time to play single-player games. If I have to choose between tightly crafted single-player and an online shooter, it's obvious Concord is not the game I will ever play. Oh and it's not f2p, which is a dangerous thing for a service game in such a competitive industry.",0,2 weeks ago
@Swan42088,It certainly is a 'state' on the whole!,1,2 weeks ago
@equilibrium8545,Concord looks horrible. All these pvp live service games will bomb. I can almoast guarantee that. Many of the single-player games look cool. So that should tell you all you need to know.,0,2 weeks ago
@Skytempest,Concord? Sony can I get Socom back? Silent Hill 2 remake soulless.,0,2 weeks ago
@kailara8002,Yall it was two fps shooters and the rest are single player experiences im so confused on the outrage theres legit quality being shown and you still complain its TWO fps games calm down,0,2 weeks ago
@octobergaming5767,Can we just get a jak 3 remaster  That game was ahead of its time ,2,2 weeks ago
@piramitx8185,Astro and dynasty looks amazing,0,2 weeks ago
@iceveiled,"Sorry to say it, but I predict Concord is going to fail. It's a shame because it looks awesome graphically. I wish it had a mix of SP and MP elements like Destiny 2.  It'll be hot for 2 weeks tops with streamers capitalizing on its newness, but that's it. For the developer's sake, I hope I'm very wrong.  Besides that, it's totally a Guardians of the Galaxy ripoff. At least the GotG game had a lengthy single player campaign. Astro Bot looks fun, and I wouldn't mind revisiting Until Dawn for Halloween season if it's 4k/60 with some minor graphical overhauls, and I can upgrade at a discount by validating my PS4 physical copy for...say...15 bucks?",0,2 weeks ago
@joseluisdiazcontreras1666,Waiting for Astro bot. Me and my kids are ss o hyped. Will get it Day 1. Hope the GPU sings again.,0,2 weeks ago
@pyroboss3099,Bro can gamecompanies stop making cinematic gametrailers we just want to see gameplay.,2,2 weeks ago
@NaahSon15,"Astrobot is cool and all, but did Sony just abandon Sackboy and LBP?",8,2 weeks ago
@TomasBridal,Remaster Bloodborne already.  At the very least a frame rate patch for PS5,0,2 weeks ago
@QlawzetReamL14,"Dynasty Warriors Origins gets a ""B"" out of me. Game looks exciting to me despite it being a ""Dynasty Warriors"" game. Trailer alone tells me nothing about it unfortunately, hopefully more information as time passes.",0,9 days ago
@RobertMcClure,Excited for for that new dynasty warriors origin game and astro bot looks cool.,0,2 weeks ago
@cmike123,Concord looks beautiful. Too bad they didnt make a real game.,0,2 weeks ago
@blakeeden3917,Astro Bot stole the show!,0,2 weeks ago
@c3ku133,concord will be even biggest disappointment than real concorde :D,11,2 weeks ago
@TheReallyRealBonk,Im going to be honest...the only thing i'm playing is Astro Bot,0,2 weeks ago
@yashkothalkar5512,Only ASTRO BOT is the worthy one in this whole state of play.,0,2 weeks ago
@mateusgreenwood1096,"Make your bets, will Concord beat suicide squad as the least played live service of 2024?",0,2 weeks ago
@timothyrocheleau7824,"It looks like a fun game, except I need 4 friends to play it with. I prefer single player games and not having to rely on others to be able to oaky at the same time so can play.",1,2 weeks ago
@Riddler_von,I don’t want to play with other people. I game alone and love it that way. If I could play five on five but wonder off for a few hours and meet the team later at the bar.,0,11 days ago
@ZombieChimps,NO MORE LIVE SERVICE MULTIPLAYER SHOOTERS,1,2 weeks ago
@muzzykage,Valorant + Destiny + Overwatch= Concord xdxd,0,9 days ago
@nobody1322,"No days gone 2, Sony has been making some terrible choices lately.",1,2 weeks ago
@QlawzetReamL14,"Monster Hunter Wilds look amazing. While I am not a huge fan of Monster Hunter, I can respect what I have seen.",0,9 days ago
@TheDiepzone,"Am I the only one who enjoyed this?  Concord's gameplay look really solid. Dynasty Warriors making comeback! Ballad of Antara looked pretty interesting Behemoth looked like an amazing VR game Aliens VR, didn't look great but it's Aliens in VR Where Winds Meet looked amazing Path of Exile 2 looks next level for its category Silent Hill 2 looks so much better than last time Astro Bot!!! No more needs to be said",0,2 weeks ago
@Sky._-,What's with the shooters,2,2 weeks ago
@andresaviles2428,Sony’s tweaking on that Concord.,1,2 weeks ago
@HellDescent,"All sony has to offer is jacked store prices, non-existent customer support, missing game licenses and a $100 subscription just to play online. Time to make a transition to PC",1,2 weeks ago
@vaivs7903,Concord: Great world building. Great cinematic. Great characters. But sadly it's a boring arena shooter I ain't touching.,2,2 weeks ago
@QlawzetReamL14,"Ballad of Antara gives me ""Souls like"" vibes and gets a ""B"" out of me. Trailer is again a tease with gameplay clips. It does not tell me much about the product.",0,9 days ago
@QlawzetReamL14,"PlayStation State of Play May 30, 2024, was okay at best. The real take away from this presentation for me were Silent Hill 2 and Monster Hunter Wilds. Silent Hill 2 is my winner of this State of Play, cannot wait to play it. This state of play felt boring up until Silent Hill. Astro Bot as the final reveal, while it did look impressive, was not what I was expecting to end the show.",0,9 days ago
@kodalucero7125,Just waiting for October to get here I'm excited for sh2,0,2 weeks ago
@kdsmogg,Im PUMPED for Skydance's Behemoth!!! day one for me for sure!,0,2 weeks ago
@ghostpatrik2903,"We want the game ""Days Gone 2"".  Thank you Sony.",0,2 weeks ago
@Kittyyfyd,So excited for astro bot!! We need more games like it pls,0,5 days ago
@RAZGR1Z,Concord won't exist after two years.,0,2 weeks ago
@Balasca,"Why has the acting from Silent Hill 2 gone from perfect and dream like, to just bad.",1,2 weeks ago
@tygotgame1441,That new Astro bot game is fireeeee,1,2 weeks ago
@BaNeArroW,Is it crazy that the only game that interested me was Ballad of Antara? The art direction looked awesome! Can't wait to here more on that! The rest is just meh.,0,2 weeks ago
@Sky._-,Concord looked cool until they showed the gameplay and its just like overwatch…,1,2 weeks ago
@kyburn6195,The gaming crash can't come soon enough...,0,2 weeks ago
@Realmjumper4099,Only a few games that interest me but nothing screams must buy.,0,2 weeks ago
@Muhyee00,ASTRO BOT LOOKS SO FUN,1,2 weeks ago
@TheTeenyJeany,"Concord looks great, I guess...",0,2 weeks ago
@dashii111,No ghost 2 ,0,2 weeks ago
@runninginthe90s75,Xbox clear of Playstation garbage.,0,8 days ago
@encephsagan,"Sony, I don't think you realize how much people love Astro and dislike most everything else. People would probably buy a real Astro bot at this point. Come on!",0,2 weeks ago
@vjNotDead,I'm so disappointed that konami left Silent Hill 2 in the hands of a western studio... they will remove the soul off it.,0,2 weeks ago
@karlhendrikse,"Asobi needs to change their name because it's too close to Asobo, and Asobo is more important",0,2 weeks ago
@Lacarious,happy to see Monster Hunter is finally a legit game!!!  looks like ps5 is getting close to its peak graphics.,0,2 weeks ago
@eatden1178,We want Bloodborne on PC like for Bloodborne PC,0,2 weeks ago
@braxlucky5718,Why does Sony hate us so much,0,2 weeks ago
@MariusMerchiers,Astrobot looking great as always ,0,2 weeks ago
@SelzerMartin,Schämt euch Sony für Astrobot! PSVR 2 mit dem normalen PS5 Controller (alle Funktionen inkl. Touchpad) wäre absolut machbar gewesen. Wie bei GT7.  Hybrid Spiele versprechen und nicht mal bei eigenen Astrobot halten. RIP PSVR2,0,2 weeks ago
@TheGaribaldiMan,So PC or multiplayer announcements...... Cool,0,2 weeks ago
@redfalcon1985,Where are PS2 VR hits? Metro? Why this technology is abandoned again.,0,2 weeks ago
@Qc4L3X,Concord 5v5 ️ Condord solo/coop Narative game ️,0,2 weeks ago
@SpiderHulkThing,"I miss single player adventure games like Uncharted, Infamous, etc.  I got a playstation for single player games.  I do look forward to the astro or game.  Aliens might make me consider VR.  Also, I have zero interest in souls like games.",0,2 weeks ago
@dynyseq5353,where is ghost of tsushima 2???,0,13 days ago
@ekoprawira6129,"Shame, I thought we're gonna see Marvel's Wolverine or Blade...",0,7 days ago
@Hana-up6km,the new chibi robo ziplash looks soo cool!,0,2 weeks ago
@breadproductions957,concord is just dollar store apex+overwatch+valorant,0,2 weeks ago
@IRatchetI,Hopefully they've done a hard reset on the next Dynasty Warriors game because it really needs it. Need to see more of Monster Hunter to get a better idea of what this one is bringing to the table. Everything else was just meh or I don't care about.,0,2 weeks ago
@alexmason-zj5cp,This is great and all but where’s Just Cause 5 ,0,2 weeks ago
@calebrobb9649,"Ballad of Antara looks like copied homework from Elden Ring, nonetheless I am still intrigued ",0,2 weeks ago
@greg2081,Where was Spider-Man 2 and Wolverine?,2,2 weeks ago
@zer0-cast,"This ""showcase"" should be renamed State of The Game Industry.  What's up with this insane focus on live service games, soulslike clones and Japanese titles that appeal for a small percentage of people?  The industry is going to shambles if this is what stakeholders think will generate money. Look at how fast single player experiences are selling, look at Helldivers II and how the LiveOps and post launch was perfect. Take a note from Baulders Gate III and how it literally rewrote RPGs.   Someone needs to tell Sony that they need to being their A game next year with exclusives that appeal for everyone and do not have microtransactions slapped on the back, otherwise, the way the industry is heading is alarming....",0,2 weeks ago
@Atarius,"1-OFF is a space vacuum guys. Guys, ISN'T THAT CLEVER!?!?  Day 1 premium package early access battle pass bundle buy for me guise!",0,2 weeks ago
@TopFix,"Concord looks like another Redfall, but worse",0,2 weeks ago
@edymasoul1,Mi PSVR2 lo usare de adorno.,1,2 weeks ago
@conradowl,"So... Someone bought a powerful console to receive a few minutes Ragnarok ON PC with better FPS and resolution then on console? Great job Sony, you just showing a customers that a PC is a better choice.",0,2 weeks ago
@AmigaVR,We want ASTROBOT VR,0,2 weeks ago
@oscr_zen,"on this Concord game and others, are they shy of their own gameplay? why talk over it and not the animated trailer? xD",0,2 weeks ago
@egoborder3203,this made me really excited for the upcoming videogame industry crash,0,2 weeks ago
@wuzimu4688,"you y'all companies should know that there's still adults playing video games, make them GREAT",0,2 weeks ago
@MrAuthenticFromThe80s,"Where is Days Gone 2 and Ghost of Tsushima 2, Sony?",0,2 weeks ago
@SuperBabyMario0C,Tbh only Astro and infinity Nikki looked decent,0,2 weeks ago
@eic6916,always cool to see more giants in games,0,2 weeks ago
@koko6504,I love movies more than gameplay. Totally not lying,0,2 weeks ago
@soraclous4220,"No Kingdom Hearts 4, Spyro 4 or Sly 5 ",0,2 weeks ago
@ForTheSuperEarth,"Sony, start inviting indie studios, people will hate you less if there are games made with passion and heart, and not becouse someone told them to make them. Seriously, start showing us real games not movie-games.",0,2 weeks ago
@Luna-hb9yc,There r already many FPS games. Concord doesn’t excite me one bit,0,2 weeks ago
@indiagamer2232,"Only interested in the until dawn remaster, loved the original",0,2 weeks ago
@baselluke,"I'm only interested in single-player campaign games, and apart from Astro Bot, Dynasty Warriors Origins, Ballad of Antara, Where Winds Meet, and Monster Hunter Wilds, the rest didn't interest me. For example, I like Marvel Games, but not in a PVP style. So when I heard that, I was very disappointed, as with other PVP life service games.",0,2 weeks ago
@JohnDoe-hm9mi,"Sick of this live service agenda Sony has this generation. 4 years in and not a clue what ND, SP, or Bend are even doing.",0,2 weeks ago
@shiftyjim4138,Infamous 1 & 2 remake on PS5 PLEAAAASSSSSEEEEE   ALSO RATCHET AND CLANK FUTURE TRILOGY REMAKE FOR PS5 ,0,2 weeks ago
@troyl200,Que interviews with devs on the chopping block...,0,2 weeks ago
@HumbleHurricane,Dynasty Warriors Origins  Silent Hill 2 Where Winds Meet  ,0,2 weeks ago
@josuevalar6465,DO YOU NOT UNDERSTAND WE WANT BLOODBORNE FOR PC?????????????,0,2 weeks ago
@Lunarsnail8341,"I'm so mad that Concord is even a thing. We are tired of online multiplayer FPS games, especially hero shooters like this. This state of play as minor as an event that it was, shows just how unoriginal and money hungry gaming has become, sony and microsoft are building the next 80s gaming crisis with this one.",0,2 weeks ago
@uneCENT,Concord looks like all the other f2p games out there.,0,2 weeks ago
@azaraliyev5172,After each state of play I am getting closer to belive the fact that ps5 is not necessary at all,0,2 weeks ago
@2009heyhow,Starting to feel old when so many games seems to fucus on the Z generation...,0,8 days ago
@SerRuzen,Disappointed to see a state of play without a single original idea from Sony.,0,2 weeks ago
@shronk769,...but will silent hill still have the dog ending?,0,2 weeks ago
@charlesfragoso3932,"Is anyone really interested in concord, the marvel game or until dawn?",0,2 weeks ago
@cody3335,Pretty hyped for astrobot and nothing else. Also 5v5 game lol no,0,2 weeks ago
@GennPen,Connect PSN account to watch this video.,0,2 weeks ago
@Spaceman_u,No Bloodborne?,1,2 weeks ago
@alexanderzhukov3773,Its a shame to waste so much talent and resources on Overwatch clone,0,10 days ago
@DeathsjesterKMNP,"That was rather disappointing. As of now, the only reason I'd want to buy a PS5 is still just for Stellar Blade, and that's not enough.",0,2 weeks ago
@XxSLaYerZzxX,"Mmm, can't wait to have to make a PSN account specifically to play a single player game on a completely different platform. Otherwise, a fantastic video to show all the slop you have in store with few exceptions, though not like those matter at this point.",1,2 weeks ago
@MrMartellSincere,Sony Falling out ,0,2 weeks ago
@donslipo,"14:37 dang, that's some stiff running animation",0,2 weeks ago
@user-fb5bq6pb6y,"Sad truth is single player games are just not lucrative enough when you can keep making money from someone who bought the game with cosmetics, skins, new characters, season passes. Its cancer sadly",0,2 weeks ago
@JoeRifo,"Concord looks terrible, Rivals looks and feels soulless, and it's sad that the only game I'm excited for is Astro Bot.   The Ballad of so and so and the samurai game look promising but idk man",0,2 weeks ago
@captainobvious2658,When i tell you my disappointment is immeasurable. Im not exaggerating.,1,2 weeks ago
@grazstarr,These games look amazing. So excited for their release!!,0,2 weeks ago
@pxpimxll5807,Sony yk what I rlly rlly rlly want      Pls give us lbp4,0,2 weeks ago
@wakkowarner9522,"Concord will feature ""Medics"".  Ugh, did they learn NOTHING from Overwatch?! ",2,2 weeks ago
@q1wro,Still waiting for bloodborne remake,0,2 weeks ago
@Lastability,Really inspiring Sony. Inspiring to play elsewhere.,0,2 weeks ago
@Stone2D3D,"So here I was, starting watching this 2024 PS State Of Play.... And than what",0,3 weeks ago
@c.j.8803,"Yet another very disappointing state of play the most interesting part towards the end monster Hunter, ah kinda & astro bot looks very cool and been long awaiting a full game from this series!!",1,2 weeks ago
@mikekyzivat1242,Concord = (Apex Legends + Outlaw Star)   Solve for X...box.,0,2 weeks ago
@LionheartXV,Dynasty warriors looks great,0,2 weeks ago
@aaroncalix3777,I wanna see more games like “It Takes Two” that I can play with my gf,0,2 weeks ago
@aliyaralgozhin4455,"31:59 какая то детская игра - единственное что меня как то заинтересовало, это пздц",0,12 days ago
@Limitx270,Honestly one of the worst state of plays in a long time. Games just aren’t what they used to be,1,2 weeks ago
@pedropcs_exe,"Other than MH Wilds, this was a nothing burger. The community asks for Bloodborne remaster/remake/port, Sony brings us DEI titles. DoA.",0,2 weeks ago
@GrumpyMelon,"A bit underwhelming, this one. Sony should pay better attention.",0,2 weeks ago
@ChochoLevi,I'm tired of all these post-E3 trailer shows. You know you don't have to show anything if you have nothing to show.,0,2 weeks ago
@Drake_Dawid,PlayStation should make killzone remake,0,2 weeks ago
@Gods0nlyChild02,This could have been an email,0,2 weeks ago
@vibesshothard7943,came here to say Xbox won the show case round,0,10 days ago
@virajwadhwa6782,Astrobot is just a huge W,0,2 weeks ago
@lukask.7488,Thankfully I never bought a ps5,0,2 weeks ago
@andresramos310,No Spider-Man 2 dlc announcement is an L.,0,2 weeks ago
@ahmedfahmy1339,Where days gone 2 and why there isn't a remaster for part one. Sony doesn't care about gamers' wishes anymore only profits.,3,2 weeks ago
@CourtJesterCowboy,....basically AstroBot looks cool but aint sellin no consoles and I cant wait to play MonsterHunterWilds on PC...,0,2 weeks ago
@Darkshadoz,"Ps5 what happened to big games coming out and lowkey ones like fortnite, ik cod 6 is coming but atleast bring cod 2 remastered. Better graphics ",0,2 weeks ago
@Tyhar93,Concord has SBI written all over it. It's like Suicide Squad game part 2. Yikes.,0,2 weeks ago
@eileentheecroww9829,petition to Stop making FPS gams to sony.,0,2 weeks ago
@azarhielsombrelame5659,From what's presented here i'm interested in 2 of those games and none of them are multiplayer live service garbage !!,0,2 weeks ago
@osalinas449,"Sony needs to stop making pvp games, like foamstars. They're boring and keep doing the same thing over and over, like kill player, player respawns and tries to kill you. There is no difference they all have the same objective. Eliminate the other team. Then do it all over again once the match ends.",0,2 weeks ago
@PAS2010D,The only thing i want is astro bot,0,2 weeks ago
@aznfattass,"I have said it before and I have said again, stop throwing money at big bois like Sony and start throwing money at indie developers. We support guys like Hello Games and we will be rewarded with great content",0,2 weeks ago
@MarioTGP,ONE GAME,0,2 weeks ago
@QlawzetReamL14,Can Path of Exile 2 do what Diablo IV cannot.,0,9 days ago
@JammedClipper,"2 overwatch clones, a bunch of generic action games, a bunch of soulslikes..what has happened to sony? Where is the innovation? When is next gen coming? Were all still playing ps4 games with a shiny coat on top. Very disappointing. Astrobot is the winner here",0,2 weeks ago
@Silentcat-kk7xh,No one play video games anymore  Outdated,0,8 days ago
@megaheroes3611,"For people getting mad or disappointed, DO NOT EXPECT a State of Play, Xbox Showcase or Nintendo Direct to be PERSONALIZED OR TAILOR MADE FOR YOU!",0,2 weeks ago
@SlidaAman,"Ils ont fait tout leur possible pour ne pas dire ""nous avons été piratés"" pendant la présidence de Concorde.",0,10 days ago
@nesouas3642,Playstation and Sony tf is this again?,0,2 weeks ago
@DDraganita,You made me fill sad today Sony,1,2 weeks ago
@miguelbouffard5500,Astro bot est le jeu que j'attends le plus de tout le state of play c'est fou,0,9 days ago
@canos263,Sony did not even try this year... sad...,0,7 days ago
@azizalfa752,Guys Silent Hill Remake Has DEI Don’t Buy it you see women face exactly what they done,0,2 weeks ago
@ryliecronk1138,Y’all don’t fw monster hunter ?there was a few interesting games on this list,0,2 weeks ago
@ThePhantomGazz,Disappointed and my day is ruined. Was hoping for more new singleplayers. You showed two overwatch clones. How much time in the day do you think we have?,0,2 weeks ago
@Die-Angst,Concord: 5v5? So more multiplayer trash?  Alien: Rogue Incursion: Thank you for taking a great concept and ruining it by making it into a VR game.  Marvel Rivals: Thank you for taking a great concept and ruining it by making it a PvP game.  Where Winds Meet: Thank you for taking a great concept and ruining it by making it into a Souls-type game.  Path of Exile 2: This type of game is not suited for console to be played with a controller.,0,2 weeks ago
@anotherone3815,"pronouns in characer selection screen was everything i needed to see, no need to make a generic trailer that lasts half the video",0,2 weeks ago
@Babe_Fior_Rose,Sie strahlt einen eleganten Charme aus und trägt sich mit der Anmut und dem Stolz einer wahren Königin.️,0,2 weeks ago
@gehteuchnixan4156,State of Play? Currently desolate....,0,2 weeks ago
@FridgeNinja,This was incredibly underwhelming.,0,2 weeks ago
@stephencheney9811,"I think those commenting are mostly console gamers while some of these games are maybe aimed at PC gamers, trying to get them into the Sony tent. It's just a hypothesis though.",0,2 weeks ago
@Perpetuousdreamer92,Couldn’t care less about live service games period.,0,2 weeks ago
@coltonriffle2310,Ghost of Tsushima 2 when? PlayStation All Stars Battle Royale 2 when?,0,2 weeks ago
@angelfarias5553,"Why is it always have a live stream and show almost garbage, but only showcase like three or four games that are interesting to preorder ",0,2 weeks ago
@nat99997,Concord is your next failure Sony. A pity you cant see it.,0,2 weeks ago
@theashenogre8948,The only game that looks remotely interesting is Astro Bot. The rest look mediocre imo.  I also don't understand why they chose to remake Until Dawn. You can already buy the PS4 version & play through it for cheap while the new PS5 game will likely be around $70,0,2 weeks ago
@romanfedotov1152,i will buy only space marine 2 in september,0,2 weeks ago
@kevinmiracle8233,i was super pumped on Concord until the game play. .. yawn.,0,2 weeks ago
@danielfriesen759,Hilariously weak lineup except for Astro Bot -- that looks so hype,1,2 weeks ago
@Kaldrin,"Gosh this comment section feels so mean, really gamers? That's the best you can do? I totally understand being disappointed with some of the games shown here but calling them trash is so disrespectful. And I personally found most to be pretty cool looking.",0,2 weeks ago
@invincibleflying7303,All In for POE 2!!!! ,0,2 weeks ago
@yuri_1192,Please Astro Bot for PSVR2!!!,0,2 weeks ago
@bakhromkhaitov7537,"Show us new wukong gameplay with exact date of release,show us gta 6 (2minutes gameplay) Why I need to know that Ragnarok coming to PC? Waste of time!",0,2 weeks ago
@John_Q,Playstation isn't even trying anymore. Only thing worth checking out is Astro Bot. Looks like Steam and Nintendo will get more of my money.,0,2 weeks ago
@paulrahul2035,excited for until dawn in pc,0,2 weeks ago
@bankroll4416,Bloodborne sequel? Bloodborne remaster? Shame on you Sony.,1,2 weeks ago
@end1234567,Concord is a bad overwatch knock-off,0,2 weeks ago
@MajorHector,Concord started with a co-op pve game. Seems different from games that are on market today. But now is a totally different game. It's like every fortnite-valotant like game: boring! Thanks Sony,0,2 weeks ago
@ZombieMad01,This was worth silent Hill2 remake annnnd Untill Dawn 2.. the end ,1,2 weeks ago
@ghvxgaming,At 10:10 Am I the only one that thinks someone copied Seer from Apex Legends?,0,2 weeks ago
@Spielerbros,Concord why Charakter looks like yondu ?,0,2 weeks ago
@indraspeace,Where are the REAL games at,0,2 weeks ago
@stigma8128,This is terrible. Genuinely not one game I am even remotely interested in.,0,10 days ago
@a17yearoldonyoutubeluigi,Slaming my head into a wall over this,0,2 weeks ago
@CodeSe77en,"So, Concord is just 5v5 Fortnite?",0,2 weeks ago
@nikshev6007,"Only happy for mhWilds. Everything else look shiny, but, tbh, most of it also look incredibly mid.",0,2 weeks ago
@tomatosoup9120,So we're just gender swapping Galactus now? And basically making her sound like the generic English dubbed anime character ,0,2 weeks ago
@lurkzie,Sony: Can't wait for the Playstation community to see this latest SOP they're really going to love the games were working on  The comment section: ,0,2 weeks ago
@thstrngrya,"clone of overwatch 50 games copy of souls, silent hill 2 that looks from ps3, the game about de ps robot...? a genshin impact copy? EVERYTHING IS A COPY, thats crazy play station...",0,2 weeks ago
@ERIKPEREZ80,"Another FPS and service Game with ""surprise mechanics""? COME ON SONY!!! don't your learn?",0,2 weeks ago
@lilivier,Astrobot looks awesome ,1,2 weeks ago
@CeadusSunblaster,"Opening your presentation, with the latest live-service grift is… bold.",0,13 days ago
@Julio_Gomes,I thought concord was pretty ok until they talked about all the cutscenes and overarching arcs.   These people want everything. They want to make am arcade 5x5 AND for us to care about the characters. R6 lore is not the reason people play r6.,0,2 weeks ago
@MrOskaren,Yaaaay! Astro!!! Let's gooo!,0,2 weeks ago
@connorscortex,"Almost 10 minutes talking about 1 game which is basically just another Overwatch clone, the biggest downfall of the PlayStation 5 is the lack of games",0,2 weeks ago
@nnoitora9439,"Too bad Astrobot is not a VR game, after Rescue Mission it's a shame to release new game on flat. No interested at all, give me VR-version",0,2 weeks ago
@Knight_warrior_,And there is no support at all,0,2 weeks ago
@biglebonski,Guess my next game is still gonna be gta 6.,0,2 weeks ago
@chrisharmon1985,"The only thing interesting was infinity Nikki,silent hill, and astro bot.",1,2 weeks ago
@johnnybui2058,i definitely wont be playing concord,0,2 weeks ago
@brain_jones,The new Silent Hill model looks strkingly similar to that woman (?) Shawn whatever.,0,2 weeks ago
@khemistrytheredplanet,Why is the assumption that anything to do with a live service game is bad? Concord doesn't look bad at all... And i prefer single player action adventure over almost anything multiplayer. But why would a giant like PlayStation NOT try their hand at some GAAS IP's. They already know what their bread and butter is..,1,2 weeks ago
@deadshot634,"Garage…, they even ruined silent hill…",0,2 weeks ago
@XxThatGuyOverTherex1,Why is the Palico speaking.,2,2 weeks ago
@ChouaibBourahla-sg8mi,monster hunter is a chaos game,0,2 weeks ago
@TopFix,HERE'S YOUR GAMES BRO: astrobot,0,2 weeks ago
@martinswalk,Eu vendi meu play5 e comprei um xbox Jogos com melhor custo-benefício,0,2 weeks ago
@user-qm5cq6jq6x,This new Mario game looks nice. ,1,2 weeks ago
@Reinaldaolivares,PlayStation network hagan un software donde puedan traducir discos de PlayStation 3,0,5 days ago
@karensusee5010,When are you gonna finally buy Pokémon and bring it to console  that would blow minds,0,2 weeks ago
@ThePrecipice66,Hope you like live service games and JRPGs because you're out of luck if you don't.,0,2 weeks ago
@Kingadamstar,I am so happy I am not a gamer right now.,1,2 weeks ago
@machinainc5812,IMO Nothing really to be excited about. Apart from maybe Ragnarok on PC (already played on console). Very weak SoP,0,2 weeks ago
@nguyenphuc3161,Where is our bloodborne pc ?,0,2 weeks ago
@Liliana-cl3qw,Well concord game 11 min in its on pc next gow pc great start for ps presentation right,0,2 weeks ago
@Sky._-,Skip to 33:17 you’re welcome,0,2 weeks ago
