Name,Username,Comments,Date,Hour,Replies,Retweet,Likes,Location,Verified,Blue Verified
Sheikh 305,@gh0str3con,@Xbox https://t.co/WshqgTuNyq,6/9/2024,09:21:17 PM,0,0,2,Unknown,false,true
Toasted,@ToastedShoes,@Xbox Ya’ll cooked,6/9/2024,08:39:42 PM,3,0,12,Unknown,false,true
TrejoF,@that_racerguy,@Xbox W showcase 🫶🏻 https://t.co/cna5Fbvl7b,6/9/2024,09:24:41 PM,5,31,604,Unknown,false,false
unknown,unknown,"You did yourself proud today. https://t.co/4LIvKaIYGc""",6/9/2024,08:25:09 PM,1,1,92,Unknown,false,true
unknown,unknown,"nice one  “And one more thing”""",6/9/2024,10:13:57 PM,79,235,2792,United States,false,true
Video Game History,@VideoGameHstry,@Xbox Absolute banger 🔥,6/9/2024,09:01:59 PM,2,0,59,United States,false,true
Walmart Canada Gaming,@WalmartCAGaming,@Xbox The teams absolutely cooked. 💚,6/9/2024,08:25:16 PM,5,6,554,Canada,false,false
zaiire 💫,@_zaiire_,@Xbox Xbox showcase https://t.co/I4tvJRkR4q,6/9/2024,08:44:51 PM,1,4,59,Unknown,false,true
Zom,@ZomForShort,@Xbox Amazing showcase!,6/9/2024,10:43:06 PM,2,0,4,Unknown,false,false
теd. маdе iт ® 👻,@Tedlaveee,@Xbox Oh life is strange ?!,6/9/2024,09:17:34 PM,0,0,1,United States,false,true
𒉭,@MshariAFC,@Xbox 10/10. Well done https://t.co/0lxoOz06ZD,6/9/2024,08:35:39 PM,0,0,0,Unknown,false,true
𝘼𝙧𝙮𝙖,@x2dar7k,@Xbox Thanks Xbox 🫡,6/11/2024,12:08:35 AM,2,0,4,German,false,false
